пологий;9
отличный;110
переносный;1
зрелый;1
фантастический;10
великолепный;7
центральный;15
расположенный;18
лазурный;1
виноватый;1
несказанный;1
беззаботный;1
ветхий;7
гостеприимный;6
вонючий;2
этажный;14
последний;29
черный;32
цветущий;5
испорченный;2
азиатский;10
огромный;103
любезный;2
оранжевый;3
потерянный;3
тельный;2
неимоверный;3
хороший;345
муниципальный;3
капроновый;2
периодический;3
дружелюбный;25
континентальный;1
оперативный;7
вышколенный;4
резной;6
двуспальный;4
плазменный;3
волейбольный;2
безбожный;2
алкогольный;2
вкусный;158
арабский;20
китайский;9
чумовой;10
нежный;4
условный;1
ненавязчивый;12
громкий;1
скоростной;2
полноценный;1
терпимый;-2
серый;13
аналогичный;4
ноябрьский;2
прохожий;1
номерной;12
цирковой;5
школьный;11
молодой;18
египетский;4
пошлый;1
начинающий;1
заграничный;1
служащий;4
овощной;10
турецкий;28
ухоженный;53
чудный;5
ювелирный;10
единый;1
адриатический;1
волшебный;1
финансовый;1
ароматный;1
маркий;2
сырой;11
служебный;1
знающий;1
спокойный;51
раскаленный;1
круглосуточный;2
методичный;5
вечерний;23
ощутимый;2
приметный;1
размеренный;1
бесподобный;1
счастливый;2
первоначальный;3
угловой;1
незаметный;10
блаженный;2
входной;2
обязательный;14
удовлетворительный;1
диетический;16
лечебный;1
гадкий;2
потрясающий;25
отечественный;2
удивительный;1
гладкий;5
мясной;17
массажный;2
наглый;4
комфортный;25
изысканный;1
английский;32
соответствующий;7
классный;19
горючий;4
дальний;1
палящий;1
нужный;43
резиновый;3
сухой;7
неработающий;1
шведский;31
лихой;3
веселый;29
бирюзовый;5
обшарпанный;4
регулярный;1
швейцарский;5
ночной;14
нелюдимый;1
безымянный;2
комфортабельный;15
безопасный;3
голубой;11
следующий;29
меленький;3
критичный;3
медовый;1
положенный;7
неограниченный;1
протухший;1
благой;3
левый;6
заискивающий;2
майя;1
доброжелательный;40
тушеный;6
отдельный;26
осенний;1
свежеприготовленный;1
индийский;7
личной;11
бесплатный;41
расторопный;5
муссонный;2
грубый;5
воскресный;1
солнцезащитный;1
кислородный;1
мороженый;14
уютный;62
загадочный;5
диабетический;2
малюсенький;8
чаемый;1
королевский;4
однообразный;8
обаятельный;2
средний;19
обслуживающий;15
цветочный;2
медленный;3
специальный;18
одноэтажный;2
принудительный;1
водный;27
леопардовый;4
грандиозный;10
душевой;19
острый;26
посторонний;2
пластмассовый;1
банановый;2
соевый;4
финский;1
эгейский;3
зарубежный;1
электрический;6
японский;4
ценный;1
постельный;3
занятой;4
маломальский;1
биржевой;1
тренажерный;9
забавный;2
чаевой;16
ватный;2
чинный;1
занимательный;4
сюрреалистический;2
синий;6
битый;1
праздничный;3
мокрый;2
сувенирный;8
извращенный;3
изрядный;1
старательный;5
полуторный;6
милый;27
приемлемый;3
итальянский;22
разливной;1
краткий;2
греческий;6
тупой;4
неожиданный;2
вкусовой;6
священный;2
нормальный;48
камерный;1
орлиный;4
тунисский;1
